year,state,month,number,date
1998,Acre,jan,0,1/1/98
1999,Acre,jan,0,1/1/99
2000,Acre,jan,0,1/1/00
2001,Acre,jan,0,1/1/01
2002,Acre,jan,0,1/1/02
2003,Acre,jan,10,1/1/03
2004,Acre,jan,0,1/1/04
2005,Acre,jan,12,1/1/05
2006,Acre,jan,4,1/1/06
2007,Acre,jan,0,1/1/07
2008,Acre,jan,0,1/1/08
2009,Acre,jan,0,1/1/09
2010,Acre,jan,1,1/1/10
2011,Acre,jan,0,1/1/11
2012,Acre,jan,0,1/1/12
2013,Acre,jan,0,1/1/13
2014,Acre,jan,0,1/1/14
2015,Acre,jan,1,1/1/15
2016,Acre,jan,12,1/1/16
2017,Acre,jan,0,1/1/17
1998,Acre,feb,0,1/1/98
1999,Acre,feb,0,1/1/99
2000,Acre,feb,0,1/1/00
2001,Acre,feb,0,1/1/01
2002,Acre,feb,1,1/1/02
2003,Acre,feb,0,1/1/03
2004,Acre,feb,3,1/1/04
2005,Acre,feb,0,1/1/05
2006,Acre,feb,0,1/1/06
2007,Acre,feb,5,1/1/07
2008,Acre,feb,0,1/1/08
2009,Acre,feb,2,1/1/09
2010,Acre,feb,0,1/1/10
2011,Acre,feb,0,1/1/11
2012,Acre,feb,0,1/1/12
2013,Acre,feb,0,1/1/13
2014,Acre,feb,0,1/1/14
2015,Acre,feb,2,1/1/15
2016,Acre,feb,5,1/1/16
2017,Acre,feb,1,1/1/17
1998,Acre,mar,0,1/1/98
1999,Acre,mar,0,1/1/99
2000,Acre,mar,11,1/1/00
2001,Acre,mar,0,1/1/01
2002,Acre,mar,0,1/1/02
2003,Acre,mar,0,1/1/03
2004,Acre,mar,0,1/1/04
2005,Acre,mar,3,1/1/05
2006,Acre,mar,0,1/1/06
2007,Acre,mar,2,1/1/07
2008,Acre,mar,0,1/1/08
2009,Acre,mar,1,1/1/09
2010,Acre,mar,0,1/1/10
2011,Acre,mar,0,1/1/11
2012,Acre,mar,1,1/1/12
2013,Acre,mar,2,1/1/13
